Kabupaten/Kota,Jumlah Kasus,Tahun
Kabupaten Sumedang,197,2024
Kabupaten Indramayu,573,2024
Kabupaten Subang,390,2024
Kabupaten Purwakarta,295,2024
Kabupaten Karawang,886,2024
Kabupaten Bekasi,893,2024
Kabupaten Bandung Barat,153,2024
Kabupaten Pangandaran,55,2024
Kota Bogor,411,2024
Kota Sukabumi,163,2024
Kota Bandung,1400,2024
Kota Cirebon,208,2024
Kota Bekasi,825,2024
Kota Depok,405,2024
Kota Cimahi,148,2024
Kota Tasikmalaya,210,2024
Kota Banjar,51,2024
